
"Meesho Supplier Panel"
"Supplier ID","4170734"
"Supplier Registered Name","KUSHAL NARESHBHAI VAGHASIYA"
"Supplier Email ID","jyotfashion001@gmail.com"
"Download Date & Time Stamp","1777275513000"

"S No","Product Name","SKU","Variation","Meesho PID","Category","Qty","Order Number","Suborder Number","Dispatch Date","Return Created Date","Type of Return","Sub Type","Expected Delivery Date","Courier Partner","AWB Number","Status","Attempt","Tracking Link","Return Price Type","Return Reason","Detailed Return Reason"
"1","Black Embroidered Silk Saree with Blouse Piece for Women | Party Wear Designer Saree for Wedding & Festive Wear","JF-02(4)","Free Size",,"Sarees","1","278709340163725312","278709340163725312_1","2026-04-23","2026-04-27","Customer Return","FIRST_RET","2026-05-22","Shadowfax","R2044634410FPL","Picked Up","NA","https://track.shadowfax.in/track?order=return&trackingId=R2044634410FPL","Meesho Price","Have size / fit related issues","Did not like the fit"
"2","Women’s Mustard Yellow Silk Saree with Blouse Piece | Heavy Zari Embroidery Border Party Wear Wedding Saree Latest Design","JF-01(3)","Free Size",,"Sarees","1","276655641928984832","276655641928984832_1","2026-04-18","2026-04-27","Customer Return","FIRST_RET","2026-05-22","Valmo","VLR082242601783","Picked Up","NA","https://meesho.portal.shipsy.io/track/result?refNum=VLR082242601783&searchBy=referenceNumber","Meesho Price","Have other quality related issues","Product's quality or performance is not good"
"3","Mustard Yellow Embroidered Silk Saree with Blouse Piece for Women | Party Wear Wedding Saree Latest Design","JF-02(3)","Free Size",,"Sarees","1","277445837298044416","277445837298044416_1","2026-04-20","2026-04-27","Courier Return (RTO)","forward_RTO","2026-06-04","PocketShip","VL0084089887823","Returned","null","https://www.valmo.in/track/VL0084089887823",,"NA","NA"
"4","Mustard Yellow Embroidered Silk Saree with Blouse Piece for Women | Party Wear Wedding Saree Latest Design","JF-02(3)","Free Size",,"Sarees","1","278222077923659264","278222077923659264_1","2026-04-22","2026-04-26","Courier Return (RTO)","forward_RTO","2026-06-06","Xpress Bees","13409677459339","Returned","null","https://www.xpressbees.com/track?isawb=Yes&trackid=13409677459339",,"NA","NA"
"5","Mustard Yellow Embroidered Silk Saree with Blouse Piece for Women | Party Wear Wedding Saree Latest Design","JF-02(3)","Free Size",,"Sarees","1","277358396549598720","277358396549598720_1","2026-04-20","2026-04-26","Customer Return","FIRST_RET","2026-05-21","Xpress Bees","234095408115273","Picked Up","NA","https://www.xpressbees.com/track?isawb=Yes&trackid=234095408115273","Meesho Price","Have other quality related issues","Product's quality or performance is not good"
"6","Mustard Yellow Embroidered Silk Saree with Blouse Piece for Women | Party Wear Wedding Saree Latest Design","JF-02(3)","Free Size",,"Sarees","1","278224865621240064","278224865621240064_1","2026-04-22","2026-04-26","Courier Return (RTO)","forward_RTO","2026-06-06","Shadowfax","SF3291952752FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF3291952752FPL",,"NA","NA"
"7","Mustard Yellow Embroidered Silk Saree with Blouse Piece for Women | Party Wear Wedding Saree Latest Design","JF-02(3)","Free Size",,"Sarees","1","278710234741533056","278710234741533056_1","2026-04-23","2026-04-25","Courier Return (RTO)","forward_RTO","2026-06-07","PocketShip","VL0084119295455","Returned","null","https://www.valmo.in/track/VL0084119295455",,"NA","NA"
"8","Original Chiffon Embroidered Saree with Blouse | Lightweight Party Wear Ethnic Saree (Free Size)","JF-01","Free Size",,"Sarees","1","276706142800500736","276706142800500736_1","2026-04-20","2026-04-25","Customer Return","FIRST_RET","2026-05-20","Xpress Bees","2340966477680","Picked Up","NA","https://www.xpressbees.com/track?isawb=Yes&trackid=2340966477680","Meesho Price","Have other quality related issues","Product's quality or performance is not good"
"9","Black Embroidered Silk Saree with Blouse Piece for Women | Party Wear Designer Saree for Wedding & Festive Wear","JF-02(4)","Free Size",,"Sarees","1","278179897536384512","278179897536384512_1","2026-04-22","2026-04-25","Courier Return (RTO)","forward_RTO","2026-06-06","PocketShip","VL0084107364907","Returned","null","https://www.valmo.in/track/VL0084107364907",,"NA","NA"
"10","Black Embroidered Silk Saree with Blouse Piece for Women | Party Wear Designer Saree for Wedding & Festive Wear","JF-02(4)","Free Size",,"Sarees","1","278222270345435136","278222270345435136_1","2026-04-22","2026-04-25","Courier Return (RTO)","forward_RTO","2026-06-06","PocketShip","VL0084110443758","Returned","null","https://www.valmo.in/track/VL0084110443758",,"NA","NA"
